No.,date,wind_code,sec_name
1,2018/10/21,000001.SZ,平安银行
2,2018/10/21,000002.SZ,万科A
3,2018/10/21,000006.SZ,深振业A
4,2018/10/21,000008.SZ,神州高铁
5,2018/10/21,000009.SZ,中国宝安
6,2018/10/21,000012.SZ,南玻A
7,2018/10/21,000021.SZ,深科技
8,2018/10/21,000025.SZ,特力A
9,2018/10/21,000027.SZ,深圳能源
10,2018/10/21,000028.SZ,国药一致
11,2018/10/21,000031.SZ,中粮地产
12,2018/10/21,000039.SZ,中集集团
13,2018/10/21,000049.SZ,德赛电池
14,2018/10/21,000060.SZ,中金岭南
15,2018/10/21,000061.SZ,农产品
16,2018/10/21,000062.SZ,深圳华强
17,2018/10/21,000063.SZ,中兴通讯
18,2018/10/21,000066.SZ,中国长城
19,2018/10/21,000069.SZ,华侨城A
20,2018/10/21,000078.SZ,海王生物
21,2018/10/21,000089.SZ,深圳机场
22,2018/10/21,000090.SZ,天健集团
23,2018/10/21,000100.SZ,TCL集团
24,2018/10/21,000156.SZ,华数传媒
25,2018/10/21,000157.SZ,中联重科
26,2018/10/21,000158.SZ,常山北明
27,2018/10/21,000166.SZ,申万宏源
28,2018/10/21,000333.SZ,美的集团
29,2018/10/21,000338.SZ,潍柴动力
30,2018/10/21,000400.SZ,许继电气
31,2018/10/21,000401.SZ,冀东水泥
32,2018/10/21,000402.SZ,金融街
33,2018/10/21,000413.SZ,东旭光电
34,2018/10/21,000415.SZ,渤海金控
35,2018/10/21,000418.SZ,小天鹅A
36,2018/10/21,000423.SZ,东阿阿胶
37,2018/10/21,000425.SZ,徐工机械
38,2018/10/21,000426.SZ,兴业矿业
39,2018/10/21,000488.SZ,晨鸣纸业
40,2018/10/21,000501.SZ,鄂武商A
41,2018/10/21,000503.SZ,国新健康
42,2018/10/21,000513.SZ,丽珠集团
43,2018/10/21,000519.SZ,中兵红箭
44,2018/10/21,000528.SZ,柳工
45,2018/10/21,000536.SZ,华映科技
46,2018/10/21,000538.SZ,云南白药
47,2018/10/21,000540.SZ,中天金融
48,2018/10/21,000541.SZ,佛山照明
49,2018/10/21,000543.SZ,皖能电力
50,2018/10/21,000547.SZ,航天发展
51,2018/10/21,000552.SZ,靖远煤电
52,2018/10/21,000553.SZ,沙隆达A
53,2018/10/21,000559.SZ,万向钱潮
54,2018/10/21,000563.SZ,陕国投A
55,2018/10/21,000566.SZ,海南海药
56,2018/10/21,000568.SZ,泸州老窖
57,2018/10/21,000572.SZ,海马汽车
58,2018/10/21,000581.SZ,威孚高科
59,2018/10/21,000587.SZ,金洲慈航
60,2018/10/21,000592.SZ,平潭发展
61,2018/10/21,000596.SZ,古井贡酒
62,2018/10/21,000598.SZ,兴蓉环境
63,2018/10/21,000600.SZ,建投能源
64,2018/10/21,000612.SZ,焦作万方
65,2018/10/21,000623.SZ,吉林敖东
66,2018/10/21,000625.SZ,长安汽车
67,2018/10/21,000627.SZ,天茂集团
68,2018/10/21,000630.SZ,铜陵有色
69,2018/10/21,000636.SZ,风华高科
70,2018/10/21,000651.SZ,格力电器
71,2018/10/21,000656.SZ,金科股份
72,2018/10/21,000661.SZ,长春高新
73,2018/10/21,000667.SZ,美好置业
74,2018/10/21,000671.SZ,阳光城
75,2018/10/21,000681.SZ,视觉中国
76,2018/10/21,000685.SZ,中山公用
77,2018/10/21,000686.SZ,东北证券
78,2018/10/21,000690.SZ,宝新能源
79,2018/10/21,000703.SZ,恒逸石化
80,2018/10/21,000709.SZ,河钢股份
81,2018/10/21,000712.SZ,锦龙股份
82,2018/10/21,000718.SZ,苏宁环球
83,2018/10/21,000723.SZ,美锦能源
84,2018/10/21,000725.SZ,京东方A
85,2018/10/21,000727.SZ,华东科技
86,2018/10/21,000728.SZ,国元证券
87,2018/10/21,000729.SZ,燕京啤酒
88,2018/10/21,000732.SZ,泰禾集团
89,2018/10/21,000738.SZ,航发控制
90,2018/10/21,000750.SZ,国海证券
91,2018/10/21,000758.SZ,中色股份
92,2018/10/21,000761.SZ,本钢板材
93,2018/10/21,000762.SZ,西藏矿业
94,2018/10/21,000766.SZ,通化金马
95,2018/10/21,000768.SZ,中航飞机
96,2018/10/21,000776.SZ,广发证券
97,2018/10/21,000778.SZ,新兴铸管
98,2018/10/21,000783.SZ,长江证券
99,2018/10/21,000786.SZ,北新建材
100,2018/10/21,000792.SZ,盐湖股份
101,2018/10/21,000806.SZ,银河生物
102,2018/10/21,000807.SZ,云铝股份
103,2018/10/21,000813.SZ,德展健康
104,2018/10/21,000825.SZ,太钢不锈
105,2018/10/21,000826.SZ,启迪桑德
106,2018/10/21,000829.SZ,天音控股
107,2018/10/21,000830.SZ,鲁西化工
108,2018/10/21,000839.SZ,中信国安
109,2018/10/21,000848.SZ,承德露露
110,2018/10/21,000858.SZ,五粮液
111,2018/10/21,000860.SZ,顺鑫农业
112,2018/10/21,000876.SZ,新希望
113,2018/10/21,000877.SZ,天山股份
114,2018/10/21,000878.SZ,云南铜业
115,2018/10/21,000887.SZ,中鼎股份
116,2018/10/21,000895.SZ,双汇发展
117,2018/10/21,000898.SZ,鞍钢股份
118,2018/10/21,000926.SZ,福星股份
119,2018/10/21,000930.SZ,中粮生化
120,2018/10/21,000937.SZ,冀中能源
121,2018/10/21,000938.SZ,紫光股份
122,2018/10/21,000959.SZ,首钢股份
123,2018/10/21,000960.SZ,锡业股份
124,2018/10/21,000961.SZ,中南建设
125,2018/10/21,000963.SZ,华东医药
126,2018/10/21,000969.SZ,安泰科技
127,2018/10/21,000970.SZ,中科三环
128,2018/10/21,000975.SZ,银泰资源
129,2018/10/21,000977.SZ,浪潮信息
130,2018/10/21,000979.SZ,中弘股份
131,2018/10/21,000980.SZ,众泰汽车
132,2018/10/21,000983.SZ,西山煤电
133,2018/10/21,000987.SZ,越秀金控
134,2018/10/21,000988.SZ,华工科技
135,2018/10/21,000990.SZ,诚志股份
136,2018/10/21,000997.SZ,新大陆
137,2018/10/21,000999.SZ,华润三九
138,2018/10/21,001696.SZ,宗申动力
139,2018/10/21,001965.SZ,招商公路
140,2018/10/21,001979.SZ,招商蛇口
141,2018/10/21,002002.SZ,鸿达兴业
142,2018/10/21,002004.SZ,华邦健康
143,2018/10/21,002007.SZ,华兰生物
144,2018/10/21,002008.SZ,大族激光
145,2018/10/21,002011.SZ,盾安环境
146,2018/10/21,002013.SZ,中航机电
147,2018/10/21,002019.SZ,亿帆医药
148,2018/10/21,002022.SZ,科华生物
149,2018/10/21,002024.SZ,苏宁易购
150,2018/10/21,002027.SZ,分众传媒
151,2018/10/21,002028.SZ,思源电气
152,2018/10/21,002030.SZ,达安基因
153,2018/10/21,002038.SZ,双鹭药业
154,2018/10/21,002041.SZ,登海种业
155,2018/10/21,002044.SZ,美年健康
156,2018/10/21,002048.SZ,宁波华翔
157,2018/10/21,002049.SZ,紫光国微
158,2018/10/21,002050.SZ,三花智控
159,2018/10/21,002051.SZ,中工国际
160,2018/10/21,002056.SZ,横店东磁
161,2018/10/21,002064.SZ,华峰氨纶
162,2018/10/21,002065.SZ,东华软件
163,2018/10/21,002073.SZ,软控股份
164,2018/10/21,002074.SZ,国轩高科
165,2018/10/21,002078.SZ,太阳纸业
166,2018/10/21,002081.SZ,金螳螂
167,2018/10/21,002085.SZ,万丰奥威
168,2018/10/21,002092.SZ,中泰化学
169,2018/10/21,002093.SZ,国脉科技
